"","District","STATE","REMARKS","State_LGD","DISTRICT_L","Shape_Leng","Shape_Area","PM25pc"
"1","Adilabad","Telangana",NA,36,"501",379140.278537,3865768521.56,39.1822495286627
"2","Hyderabad","Telangana",NA,36,"507",97488.8484846,186457186.386,42.4671667561528
"3","Karimnagar","Telangana",NA,36,"508",299187.557065,1944842231.26,43.0295266606947
"4","Bhadradri Kothagudem","Telangana",NA,36,"690",620536.305032,6719987898.75,31.6250261153951
"5","Mahabubnagar","Telangana",NA,36,"512",430286.907137,2736448853.4,30.6053501547829
"6","Siddipet","Telangana",NA,36,"692",405896.365582,3601690110.64,33.9929278481254
"7","Nalgonda","Telangana",NA,36,"514",470569.740567,7030889222.38,35.3616666567042
"8","Nizamabad","Telangana",NA,36,"516",346070.288868,4082862634.67,39.6098925496277
"9","Rangareddy","Telangana",NA,36,"518",537924.597896,4872059069.51,35.6897444800768
"10","Mulugu","Telangana",NA,36,"720",382336.825526,4164777330.67,32.5053176774623
"11","Jogulamba Gadwal","Telangana",NA,36,"695",275697.945969,2519829844.46,32.9522669354742
"12","Kumuram Bheem","Telangana",NA,36,"699",447185.460048,4389641780.54,38.1744923086836
"13","Mancherial","Telangana",NA,36,"684",418015.090582,3735524781.13,39.0068728388763
"14","Nirmal","Telangana",NA,36,"680",459638.560564,3597101915.58,38.9805353323848
"15","Kamareddy","Telangana",NA,36,"685",471598.122212,3636649674.77,35.1016506472765
"16","Sangareddy","Telangana",NA,36,"691",628664.611295,4329919641.73,34.4058772918868
"17","Nagarkurnool","Telangana",NA,36,"694",519937.680957,6064302746.32,29.7649798442955
"18","Wanaparthy","Telangana",NA,36,"693",311149.920408,2133248183.71,32.7362335057072
"19","Narayanpet","Telangana",NA,36,"721",347978.230792,2351813053.89,30.5301590957922
"20","Vikarabad","Telangana",NA,36,"698",424080.605998,3610141215.45,31.2401307052882
"21","Medchal-Malkajgiri","Telangana",NA,36,"700",211617.342786,1046768227.34,37.542994935676
"22","Yadadri Bhuvanagiri","Telangana",NA,36,"697",379535.138734,3144205247.85,36.6069617999687
"23","Suryapet","Telangana",NA,36,"696",343671.059825,3505231009.42,36.3654227714307
"24","Khammam","Telangana",NA,36,"509",622797.315198,4560107344.96,32.0372899836061
"25","Mahabubabad","Telangana",NA,36,"688",360890.039781,3446089924.43,32.6682555250851
"26","Jangaon","Telangana",NA,36,"689",306486.351822,2357756404.52,34.302490200118
"27","Warangal (Urban)","Telangana",NA,36,"686",189478.39817,1131099837.71,37.3724253706902
"28","Warangal (Rural)","Telangana",NA,36,"522",308652.449896,2173393161.27,35.7089921259441
"29","Jayashankar Bhupalapally","Telangana",NA,36,"687",356652.740435,2788086101.25,37.1525107191839
"30","Peddapalli","Telangana",NA,36,"682",241335.078192,2127605718.57,43.5447495323937
"31","Jagtial","Telangana",NA,36,"681",287769.566774,2796130892.46,40.2676928675212
"32","Ranjanna Sircilla","Telangana",NA,36,"683",235176.921624,1754886118.07,37.7122165476043
"33","Medak","Telangana",NA,36,"513",420195.172946,2670510023.52,34.5843357260831
